tweet_created_at,tweet_favorite_count,tweet_in_reply_to_user_id,tweet_retweet_count,user_created_at,user_default_profile,user_default_profile_image,user_favourites_count,user_followers_count,user_friends_count,user_geo_enabled,user_has_extended_profile,user_id,user_listed_count,user_location,user_statuses_count,user_name,user_screen_name
Fri Sep 07 16:24:35 +0000 2018,0,25073877 ,0,Wed Jul 23 16:43:42 +0000 2008,1,0,9622,64,175,0,0,15566700 ,1,"Austin, TX",2213,tazman69,tazman69
Fri Sep 07 16:24:13 +0000 2018,0,415859364 ,0,Fri Jun 17 17:22:12 +0000 2016,1,0,921,88,129,1,1,743856280717172000 ,2,"Newark, DE",2167,Jim Christopher Aure,jaure302
Fri Sep 07 16:23:37 +0000 2018,0,1381395144 ,0,Thu May 26 13:41:42 +0000 2011,0,0,736,329,321,1,1,305589676 ,11,"Abuja, Nigeria",818,Awe Ayodeji,aweayodeji
Fri Sep 07 16:23:30 +0000 2018,0,25073877 ,0,Fri Mar 28 18:34:54 +0000 2014,1,0,2303,80,102,0,0,2442615413 ,3,,3128,terpskinsos,KirkendallMark
Fri Sep 07 16:23:27 +0000 2018,0,29501253 ,0,Mon May 25 04:39:37 +0000 2009,0,0,4120,192,420,1,0,42350706 ,11,,6771,JD Crow,JD_Crow
Fri Sep 07 16:22:41 +0000 2018,0,415859364 ,0,Wed Jun 12 18:32:06 +0000 2013,1,1,2574,39,106,0,1,1511279516 ,1,,701,Tracey McReynolds,tracymac867
Fri Sep 07 16:21:25 +0000 2018,0,25073877 ,0,Wed Apr 22 15:04:29 +0000 2009,0,0,70,403,669,0,0,34295011 ,5,Chicago,1830,ResumePros,ResumePros
Fri Sep 07 16:20:28 +0000 2018,0,415859364 ,0,Tue Mar 24 19:50:15 +0000 2009,0,0,865,121,341,0,0,26307889 ,12,"Richmond, VA",3125,Tori Sipe,tori_sipe
Fri Sep 07 16:20:08 +0000 2018,6,2688323834 ,0,Sat Jul 30 18:26:31 +0000 2016,1,0,464,24,78,0,1,759455144769577000 ,0,United States,356,The Sound of Silence,Esoundofsilence
Fri Sep 07 16:20:01 +0000 2018,0,26765362 ,0,Wed Mar 23 05:03:56 +0000 2011,1,0,16785,858,551,0,0,270741305 ,2,,3662,Wendy B,wendbrok
Fri Sep 07 16:19:57 +0000 2018,1,25073877 ,0,Sun Dec 18 03:22:14 +0000 2016,1,0,130652,3950,4661,0,1,810324265086095000 ,12,"Oregon, USA",32019,Pam McNary,pammcnary_
Fri Sep 07 16:18:14 +0000 2018,0,415859364 ,0,Fri Sep 07 16:00:26 +0000 2018,1,1,0,0,0,0,0,1038094651213860000 ,0,,2,notsopoetic,notsopoetic1
Fri Sep 07 16:18:11 +0000 2018,0,25073877 ,0,Wed Mar 25 00:57:47 +0000 2009,0,0,161618,3896,5001,1,1,26382985 ,74,Club Lux,96643,吼糕B. B. 攫,Jrlvr88
Fri Sep 07 16:17:06 +0000 2018,0,415859364 ,0,Sat Aug 12 00:53:29 +0000 2017,1,0,2820,39,426,0,0,896172754302619000 ,0,"Lone Oak, KY",1187,Jess,gorjess_36
Fri Sep 07 16:14:37 +0000 2018,1,25073877 ,1,Fri Sep 22 22:02:36 +0000 2017,1,0,9089,13053,14356,0,0,911350039942967000 ,14,,4509,The Mighty Night,Night_Rider2017
Fri Sep 07 16:14:31 +0000 2018,0,2854037512 ,0,Sun Mar 13 20:15:48 +0000 2016,1,0,52556,1309,1526,0,0,709110734836408000 ,24,Indigenous to Earth,63413,Scott soulia,scott_soulia
Fri Sep 07 16:13:50 +0000 2018,1,415859364 ,1,Tue May 31 02:30:00 +0000 2011,0,0,1316,1109,485,1,0,308245841 ,18,New York - London,3205,DIPLOMACY,diplomacy_ww
Fri Sep 07 16:13:15 +0000 2018,0,829383694976643000 ,0,Sun Jun 06 21:20:15 +0000 2010,0,0,3517,2101,3689,1,0,152777701 ,55,USA,40594,#BuildTheWall #KateSteinle #MollieTibbetts,FxEpic
Fri Sep 07 16:12:53 +0000 2018,0,400539441 ,0,Tue Oct 21 15:19:33 +0000 2014,1,0,16321,281,1067,1,1,2840194336 ,1,,3667,锔meGa BeaM,tootiebeam
Fri Sep 07 16:11:44 +0000 2018,0,25073877 ,0,Sun Jul 10 18:14:44 +0000 2016,1,0,149,72,926,0,0,752204423158493000 ,0,United States,36,Life is 1!,Sweetbuttafly12
Fri Sep 07 16:11:32 +0000 2018,0,44632333 ,0,Sun Jan 10 17:33:40 +0000 2016,1,0,41806,269,563,0,0,4766344942 ,1,,11862,WYSIWYG,tuesents
Fri Sep 07 16:11:32 +0000 2018,0,1355030022 ,0,Mon Apr 15 18:43:37 +0000 2013,0,0,3763,320,541,1,0,1355030022 ,0,,,ThatShortBitch Chong 浆False,3342
Fri Sep 07 16:11:28 +0000 2018,0,17351972 ,0,Thu Dec 11 12:04:47 +0000 2014,1,0,320,87,307,1,0,2915396728 ,0,st louis mo,271,Black Majic,MajicTg
Fri Sep 07 16:11:13 +0000 2018,0,415859364 ,0,Wed Jul 20 23:44:23 +0000 2011,0,0,12458,532,775,1,1,339347342 ,6,"California, USA",4841,Trying to Be the Change...,KimberlyOlson2
Fri Sep 07 16:10:41 +0000 2018,0,78523300 ,0,Tue Jun 26 23:21:27 +0000 2012,0,0,41988,822,506,0,0,619582257 ,13,Long Island NY,25312,Pete Lynch,p8rlynch
Fri Sep 07 16:10:30 +0000 2018,0,25073877 ,0,Wed Feb 18 00:03:36 +0000 2009,0,0,14866,393,412,1,0,21149200 ,4,,12964,Elizabeth,elizmopi
Fri Sep 07 16:10:26 +0000 2018,0,15808765 ,0,Sat Jul 19 19:02:38 +0000 2014,1,0,4389,173,236,0,0,2660260351 ,3,El Paso TX,7344,Chris Drennan,pops_drennan
Fri Sep 07 16:09:28 +0000 2018,0,18967264 ,0,Wed Dec 21 22:28:02 +0000 2011,0,0,748,20,98,0,0,443183862 ,5,"Hastings, Neb.",4825,AL Piel,defiantadp
Fri Sep 07 16:08:57 +0000 2018,0,2678211662 ,0,Sat Apr 26 18:22:47 +0000 2014,1,0,121,17,209,0,1,2464978543 ,0,R茅publique du B茅nin,57,Bilal Mouta茂rou,BilalMoutairou
Fri Sep 07 16:08:56 +0000 2018,0,25073877 ,0,Sat Mar 12 06:31:22 +0000 2011,0,0,27968,1230,1339,1,0,264637797 ,11,"Oregon, USA",27105,wheel,justatittle1
Fri Sep 07 16:08:00 +0000 2018,0,25073877 ,0,Tue May 07 03:14:30 +0000 2013,1,0,666,7,58,0,0,1409302226 ,0,,375,Ling Sue,Ling_823
